rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
9,9,0.2,20,dimensione_2,1,"(2, 1)","(7, 8)",9.071067811865476,0.00046740006655454636,1,0,0,0,1,9.071067811865476,0.00033920002169907093,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,2,"(3, 1)","(5, 7)",6.82842712474619,0.00041550002060830593,1,0,0,0,1,6.82842712474619,0.00028609996661543846,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,3,"(0, 4)","(7, 6)",7.82842712474619,0.0002965000458061695,1,0,0,0,1,7.82842712474619,0.0003374998923391104,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,4,"(3, 0)","(6, 6)",7.242640687119285,0.0020528000313788652,5,0,27,23,3,7.242640687119286,0.0018094999250024557,5,0,23,19,3,True
9,9,0.2,20,dimensione_2,5,"(2, 3)","(8, 6)",7.242640687119286,0.0004594000056385994,1,0,0,0,1,7.242640687119286,0.0004886998794972897,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,6,"(4, 3)","(5, 7)",5.242640687119286,0.0020065000280737877,3,0,13,11,2,5.242640687119286,0.0021198999602347612,3,0,22,20,2,True
9,9,0.2,20,dimensione_2,7,"(0, 2)","(7, 5)",8.242640687119284,0.0019084999803453684,5,0,22,18,2,8.242640687119284,0.0014479998499155045,4,0,20,17,2,True
9,9,0.2,20,dimensione_2,8,"(2, 1)","(7, 7)",8.071067811865476,0.0004175999201834202,1,0,0,0,1,8.071067811865476,0.0004211999475955963,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,9,"(0, 2)","(6, 5)",7.242640687119286,0.007161299930885434,18,0,29,15,5,7.242640687119286,0.003252000082284212,7,0,25,19,3,True
9,9,0.2,20,dimensione_2,10,"(1, 3)","(6, 6)",6.242640687119286,0.0003945000935345888,1,0,0,0,1,6.242640687119286,0.00040749995969235897,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,11,"(3, 4)","(6, 6)",3.8284271247461903,0.0004827000666409731,1,0,0,0,1,3.8284271247461903,0.00028529996052384377,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,12,"(3, 4)","(5, 5)",2.414213562373095,0.00025819987058639526,1,0,0,0,1,2.414213562373095,0.0002949000336229801,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,13,"(0, 4)","(7, 8)",8.65685424949238,0.00028609996661543846,1,0,0,0,1,8.65685424949238,0.0003245000261813402,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,14,"(4, 3)","(8, 8)",inf,0.0073714000172913074,19,0,14,0,3,inf,0.00040609994903206825,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,15,"(1, 3)","(6, 5)",5.82842712474619,0.0005800998769700527,1,0,0,0,1,5.82842712474619,0.00031340005807578564,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,16,"(3, 4)","(8, 5)",6.242640687119285,0.002953900024294853,10,2,21,16,3,6.242640687119285,0.004209200153127313,11,0,21,24,3,True
9,9,0.2,20,dimensione_2,17,"(0, 2)","(5, 5)",6.242640687119286,0.000547399977222085,1,0,0,0,1,6.242640687119286,0.00039059994742274284,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,18,"(2, 4)","(6, 8)",5.656854249492381,0.0005032999906688929,1,0,0,0,1,5.656854249492381,0.0003383001312613487,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,19,"(3, 3)","(5, 6)",3.8284271247461903,0.00028629996813833714,1,0,0,0,1,3.8284271247461903,0.00028050015680491924,1,0,0,0,1,True
9,9,0.2,20,dimensione_2,20,"(1, 1)","(5, 8)",8.65685424949238,0.0008060999680310488,2,0,21,20,2,8.65685424949238,0.001833599992096424,4,0,24,21,2,True
