rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,lunghezza_OD,execution_time_OD,recursive_calls_OD,cache_hits_OD,total_unique_frontiers_OD,pruning_successes_OD,max_recursion_depth_OD,lunghezza_DO,execution_time_DO,recursive_calls_DO,cache_hits_DO,total_unique_frontiers_DO,pruning_successes_DO,max_recursion_depth_DO,correttezza_superata
15,15,0.45,10,ostacoli_7,1,"(0, 0)","(14, 12)",20.14213562373095,1.651510699884966,2043,42,76,93,17,20.14213562373095,0.04923469992354512,63,1,79,124,8,True
15,15,0.45,10,ostacoli_7,2,"(4, 1)","(10, 8)",10.071067811865476,0.0028703000862151384,3,0,14,12,3,10.071067811865476,0.008205799851566553,11,0,25,16,4,True
15,15,0.45,10,ostacoli_7,3,"(7, 7)","(9, 10)",5.242640687119286,0.001740399980917573,2,0,17,16,2,5.242640687119286,0.0014362998772412539,2,0,2,1,2,True
15,15,0.45,10,ostacoli_7,4,"(3, 5)","(8, 14)",11.071067811865476,0.0031608999706804752,4,0,22,19,3,11.071067811865476,0.011158599983900785,14,0,17,17,4,True
15,15,0.45,10,ostacoli_7,5,"(2, 3)","(11, 13)",14.899494936611665,0.0026439998764544725,3,0,18,16,3,14.899494936611665,0.08213270013220608,104,2,59,49,9,True
15,15,0.45,10,ostacoli_7,6,"(3, 1)","(9, 9)",15.313708498984763,1.4682076999451965,2040,242,81,193,12,15.313708498984761,0.40692070010118186,525,33,76,46,14,True
15,15,0.45,10,ostacoli_7,7,"(1, 7)","(9, 10)",10.899494936611667,0.01494510006159544,20,0,38,19,7,10.899494936611665,0.5217458999250084,648,18,76,19,11,True
15,15,0.45,10,ostacoli_7,8,"(1, 0)","(10, 12)",19.727922061357855,0.9281516999471933,1182,43,78,574,16,19.72792206135786,0.1634935000911355,211,12,73,46,12,True
15,15,0.45,10,ostacoli_7,9,"(0, 1)","(10, 8)",16.899494936611667,0.06966969999484718,96,11,39,40,8,16.899494936611667,0.11263219988904893,139,5,54,35,10,True
15,15,0.45,10,ostacoli_7,10,"(1, 6)","(9, 10)",inf,0.0016840000171214342,2,0,1,0,2,inf,0.5739685997832566,726,19,77,0,8,True
